ProductID,Tier,TierLabel
OXD-873-QY1,1,Mid Performer / Stable
JGF-988-KT0,1,Mid Performer / Stable
VXF-418-LQ6,1,Mid Performer / Stable
OXA-463-HL7,1,Mid Performer / Stable
RVS-481-GT7,1,Mid Performer / Stable
JGJ-550-OF5,1,Mid Performer / Stable
JGL-462-GF7,1,Mid Performer / Stable
VXK-846-WZ9,1,Mid Performer / Stable
VXL-375-XE7,1,Mid Performer / Stable
DIR-656-UC0,1,Mid Performer / Stable
JHF-935-GE3,1,Mid Performer / Stable
VYY-531-JT5,1,Mid Performer / Stable
DHM-609-PO6,1,Mid Performer / Stable
JHY-052-ZK4,1,Mid Performer / Stable
DHL-606-AL4,1,Mid Performer / Stable
OUT-740-FU9,1,Mid Performer / Stable
WAM-411-WN9,1,Mid Performer / Stable
WAM-785-JQ8,1,Mid Performer / Stable
DHH-918-TY8,1,Mid Performer / Stable
WAO-623-NO3,1,Mid Performer / Stable
DHG-201-RP0,1,Mid Performer / Stable
DHF-819-WP1,1,Mid Performer / Stable
WAS-370-KK1,1,Mid Performer / Stable
WAW-389-FC1,1,Mid Performer / Stable
WBA-895-KS3,1,Mid Performer / Stable
WBE-504-EI9,1,Mid Performer / Stable
OUG-271-NU9,1,Mid Performer / Stable
OUE-843-LV3,1,Mid Performer / Stable
OUB-299-NG6,1,Mid Performer / Stable
DGT-694-WC6,1,Mid Performer / Stable
DGT-323-NH8,1,Mid Performer / Stable
DGS-752-JX4,1,Mid Performer / Stable
DGO-728-LN4,1,Mid Performer / Stable
DHM-990-ZR0,1,Mid Performer / Stable
WAI-849-VK9,1,Mid Performer / Stable
JHX-364-CO0,1,Mid Performer / Stable
OUX-887-BF9,1,Mid Performer / Stable
OVV-053-YF6,1,Mid Performer / Stable
VYZ-440-VC6,1,Mid Performer / Stable
VZG-034-XH2,1,Mid Performer / Stable
VZH-616-NI4,1,Mid Performer / Stable
DIM-153-YX4,1,Mid Performer / Stable
VZK-494-DA1,1,Mid Performer / Stable
VZL-293-XN2,1,Mid Performer / Stable
VZM-860-LP3,1,Mid Performer / Stable
VZO-708-CR6,1,Mid Performer / Stable
DIE-020-VN1,1,Mid Performer / Stable
DKI-538-OP0,1,Mid Performer / Stable
DIC-310-VN2,1,Mid Performer / Stable
VZR-424-XI8,1,Mid Performer / Stable
VZS-842-ZJ0,1,Mid Performer / Stable
OVG-256-PG7,1,Mid Performer / Stable
DHW-960-HU0,1,Mid Performer / Stable
OVE-968-FY2,1,Mid Performer / Stable
VZU-754-IN7,1,Mid Performer / Stable
JHV-465-AE9,1,Mid Performer / Stable
OVD-751-SQ4,1,Mid Performer / Stable
OVB-587-ZF2,1,Mid Performer / Stable
DHR-350-SU0,1,Mid Performer / Stable
OVI-691-WD5,1,Mid Performer / Stable
IWU-157-GF0,1,Mid Performer / Stable
JFS-157-YI5,1,Mid Performer / Stable
OXT-810-OP5,1,Mid Performer / Stable
PAH-256-CH8,1,Mid Performer / Stable
VTB-523-WT0,1,Mid Performer / Stable
VTE-161-TA3,1,Mid Performer / Stable
VTF-173-PI2,1,Mid Performer / Stable
DNG-546-DV2,1,Mid Performer / Stable
JDS-073-SM1,1,Mid Performer / Stable
PAD-758-NR5,1,Mid Performer / Stable
PAC-117-KO5,1,Mid Performer / Stable
VTL-906-PJ7,1,Mid Performer / Stable
JDV-024-KL4,1,Mid Performer / Stable
DMW-502-FI1,1,Mid Performer / Stable
DMV-940-SR8,1,Mid Performer / Stable
VTN-763-JS1,1,Mid Performer / Stable
JDW-565-OK7,1,Mid Performer / Stable
DMV-098-OB9,1,Mid Performer / Stable
VTP-808-KI8,1,Mid Performer / Stable
JDY-901-GM3,1,Mid Performer / Stable
VTQ-851-NI0,1,Mid Performer / Stable
OZV-733-OL3,1,Mid Performer / Stable
OZU-448-RO5,1,Mid Performer / Stable
DMP-771-VE0,1,Mid Performer / Stable
DNL-105-WZ3,1,Mid Performer / Stable
VTT-985-SI0,1,Mid Performer / Stable
JDN-172-FT9,1,Mid Performer / Stable
PAK-308-XX3,1,Mid Performer / Stable
DOQ-412-BK4,1,Mid Performer / Stable
PAZ-455-GT8,1,Mid Performer / Stable
VRZ-046-UP6,1,Mid Performer / Stable
JCY-133-QW1,1,Mid Performer / Stable
DOM-465-VY8,1,Mid Performer / Stable
PAV-010-PL8,1,Mid Performer / Stable
VSC-092-NJ1,1,Mid Performer / Stable
VSE-599-LT1,1,Mid Performer / Stable
PAU-957-WJ9,1,Mid Performer / Stable
DOI-453-WY4,1,Mid Performer / Stable
VSG-925-KN5,1,Mid Performer / Stable
DOD-302-CN1,1,Mid Performer / Stable
PAT-157-NC7,1,Mid Performer / Stable
VSJ-756-EM6,1,Mid Performer / Stable
PAQ-362-UL9,1,Mid Performer / Stable
PAP-616-OL6,1,Mid Performer / Stable
VSP-487-OE5,1,Mid Performer / Stable
JDJ-623-GM5,1,Mid Performer / Stable
PAM-405-EO5,1,Mid Performer / Stable
VSW-554-QG7,1,Mid Performer / Stable
JDM-011-XT4,1,Mid Performer / Stable
DNO-309-MX8,1,Mid Performer / Stable
OZT-369-IZ3,1,Mid Performer / Stable
OZS-140-WJ7,1,Mid Performer / Stable
OZP-025-PP7,1,Mid Performer / Stable
OYQ-086-TH2,1,Mid Performer / Stable
OYP-479-UT5,1,Mid Performer / Stable
DLE-632-MM0,1,Mid Performer / Stable
DLE-146-IV1,1,Mid Performer / Stable
VVU-266-EC9,1,Mid Performer / Stable
DLB-146-JG5,1,Mid Performer / Stable
DLA-406-HP4,1,Mid Performer / Stable
OYI-225-TN9,1,Mid Performer / Stable
JFF-177-PY1,1,Mid Performer / Stable
OYG-044-LO8,1,Mid Performer / Stable
VVX-277-BK1,1,Mid Performer / Stable
OYD-181-YI9,1,Mid Performer / Stable
VWA-047-AW3,1,Mid Performer / Stable
VWD-310-QF7,1,Mid Performer / Stable
