CustomerID,ExtPrice_sum,ExtPrice_mean,ExtPrice_std,ExtPrice_count,ExtPrice_median,ExtPrice_min,ExtPrice_max,ExtCost_sum,ExtCost_mean,ExtCost_std,ExtCost_median,SalesQty_sum,SalesQty_mean,SalesQty_std,SalesQty_median,SalesQty_min,SalesQty_max,UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,UnitPrice_median,UnitCost_mean,UnitCost_std,UnitCost_median,OrderNumber_nunique,ProductID_nunique,SalesDate_min,SalesDate_max,SalesDate_count,TotalRevenue,TotalCost,TotalProfit,ProfitMargin,AvgOrderValue,AvgOrderQuantity,PriceVolatility,QuantityVolatility,CustomerLifetimeDays,AvgDaysBetweenOrders,OrderFrequency,ProductDiversity,AvgProductsPerOrder,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,CustomerLifetimeValue,CustomerLoyaltyScore,QuoteID_nunique,QuoteVersion_mean,QuoteVersion_max,UnitPrice_mean_y,UnitPrice_std_y,UnitPrice_min_y,UnitPrice_max_y,QuoteQty_sum,QuoteQty_mean,QuoteQty_std,QuoteStatus_<lambda>,ConvertedToOrderNumber_<lambda>,QuoteConversionRate,QuoteWinRate,AvgNegotiationRounds,QuotePriceVolatility,Cluster,Cluster_Numeric
CUST1035,15580.0,1947.5,41.6393,8,1947.5,1869.6,2025.4,9808.56,1226.07,179.8629,1113.34,200,25.0,0.5345,25.0,24,26,1480.1,865.4566,77.9,1947.5,1947.5,964.8684,589.5301,1113.295,7,1,10/23/2023,12/9/2024,8,15580.0,9808.56,5771.44,0.370439024,2225.714286,28.57142857,0.584728464,0.02138,413,59.0,6.171497585,1,0.142857143,273,7,15580.0,3,2,4,324,15580.0,398.0291971,10,1.1667,2,1697.8809,763.3535,77.9,2277.7314,297.0951,24.7579,1.5696,0.6667,10,1.0,0.6667,1.1667,0.4495919,Diamond,4
CUST1036,71497.79,5958.1492,2159.0344,12,6603.84,660.38,8573.1,55537.7,4628.1417,1825.8636,5472.5,2830,235.8333,99.3157,300.0,30,300,26.3623,5.9426,22.0127,36.6911,22.0128,19.9681,2.2879,18.55,11,1,8/22/2022,11/4/2024,12,71497.79,55537.7,15960.09,0.223224942,6499.799091,257.2727273,0.225420392,0.421126703,805,73.18181818,4.981389578,1,0.090909091,308,11,71497.79,3,3,5,335,71497.79,2545.22877,21,1.1923,2,28.6979,6.5656,22.0127,48.3588,6307.6979,242.6038,95.674,0.4615,15,0.714285714,0.4615,1.1923,0.228783291,Diamond,4
CUST1037,18124.0,6041.3333,1334.8338,3,6812.0,4500.0,6812.0,10087.5,3362.5,517.7053,3610.0,550,183.3333,28.8675,200.0,150,200,32.7067,2.344,30.0,34.06,34.06,18.35,0.2646,18.45,3,2,5/2/2022,11/29/2023,3,18124.0,10087.5,8036.5,0.443417568,6041.333333,183.3333333,0.071667273,0.15745912,576,192.0,1.897746967,2,0.666666667,649,3,18124.0,2,1,4,214,18124.0,83.64923077,6,1.1429,2,34.728,3.3428,30.0,40.4145,1254.7195,179.2456,30.9819,0.4286,4,0.666666667,0.4286,1.1429,0.096256623,Diamond,4
CUST1038,4.06,4.06,0.0,1,4.06,4.06,4.06,1.62,1.62,0.0,1.62,29,29.0,0.0,29.0,29,29,0.14,0.0,0.14,0.14,0.14,0.0559,0.0,0.0559,1,1,2/7/2022,2/7/2022,1,4.06,1.62,2.44,0.600985222,4.06,29.0,0.0,0.0,0,0.0,365.0,1,1.0,1309,1,4.06,1,1,1,111,4.06,0.003099237,1,1.0,1,0.14,0.0,0.14,0.14,29.0,29.0,0.0,1.0,1,1.0,1.0,1.0,0.0,Diamond,4
CUST1039,5913.92,2956.96,380.3669,2,2956.96,2688.0,3225.92,3660.8,1830.4,235.3251,1830.4,32,16.0,0.0,16.0,16,16,184.81,23.7729,168.0,201.62,184.81,114.4,14.7078,114.4,2,1,8/22/2024,8/26/2025,2,5913.92,3660.8,2253.12,0.380985877,2956.96,16.0,0.128634273,0.0,369,184.5,1.972972973,1,0.5,13,2,5913.92,5,1,3,513,5913.92,844.8457143,3,1.0,1,200.1792,31.4836,168.0,230.9176,45.3098,15.1033,1.5532,0.6667,2,0.666666667,0.6667,1.0,0.15727708,Diamond,4
CUST104,46324.36,153.3919,202.5743,302,77.98,1.46,1421.0,32234.34,106.7362,147.6244,51.58,16641,55.1026,180.4539,5.0,1,1000,58.9696,83.4777,1.315,592.57,42.1125,42.5694,71.8963,30.3575,9,61,3/1/2022,2/20/2025,302,46324.36,32234.34,14090.02,0.304160057,5147.151111,1849.0,1.415605668,3.274870877,1087,120.7777778,3.019301471,61,6.777777778,200,9,46324.36,3,3,4,334,46324.36,2074.225075,442,1.2065,2,68.0079,101.4112,1.315,742.6538,30729.3676,55.1694,180.7033,0.5422,389,0.880090498,0.5422,1.2065,1.491167938,Platinum,5
CUST1040,400.0,400.0,0.0,1,400.0,400.0,400.0,148.7,148.7,0.0,148.7,10000,10000.0,0.0,10000.0,10000,10000,0.04,0.0,0.04,0.04,0.04,0.0149,0.0,0.0149,1,1,8/2/2024,8/2/2024,1,400.0,148.7,251.3,0.62825,400.0,10000.0,0.0,0.0,0,0.0,365.0,1,1.0,402,1,400.0,2,1,1,211,400.0,0.992555831,1,1.0,1,0.04,0.0,0.04,0.04,10000.0,10000.0,0.0,1.0,1,1.0,1.0,1.0,0.0,Diamond,4
CUST1041,923.1,307.7,243.3424,3,434.4,27.15,461.55,423.97,141.3233,111.764,199.52,170,56.6667,44.8144,80.0,5,85,5.43,0.0,5.43,5.43,5.43,2.494,0.0001,2.494,1,1,2/12/2024,3/6/2024,3,923.1,423.97,499.13,0.540710649,923.1,170.0,0.0,0.790841888,23,23.0,15.20833333,1,1.0,551,1,923.1,2,1,2,212,923.1,1.672282609,3,1.25,2,5.9783,1.0966,5.43,7.6232,255.0,63.75,39.2375,0.75,4,1.333333333,0.75,1.25,0.183430072,Diamond,4
CUST1042,570.76,51.8873,44.253,11,48.87,9.8,165.97,330.4,30.0364,29.7355,27.04,46,4.1818,1.6011,4.0,1,6,12.6967,8.1946,2.45,33.194,12.2175,7.3664,5.6594,7.1,8,5,1/10/2022,1/23/2024,11,570.76,330.4,240.36,0.421122714,71.345,5.75,0.6454118,0.382873404,743,92.875,3.924731183,5,0.625,594,8,570.76,2,2,1,221,570.76,7.674084034,15,1.1667,2,16.249,9.8087,2.45,36.509,75.7555,4.2086,1.5392,0.6111,12,0.8,0.6111,1.1667,0.603649455,Diamond,4
CUST1043,1337.7,1337.7,0.0,1,1337.7,1337.7,1337.7,854.52,854.52,0.0,854.52,210,210.0,0.0,210.0,210,210,6.37,0.0,6.37,6.37,6.37,4.0691,0.0,4.0691,1,1,8/18/2022,8/18/2022,1,1337.7,854.52,483.18,0.361202063,1337.7,210.0,0.0,0.0,0,0.0,365.0,1,1.0,1117,1,1337.7,1,1,2,112,1337.7,1.196511628,1,1.0,1,6.37,0.0,6.37,6.37,210.0,210.0,0.0,1.0,1,1.0,1.0,1.0,0.0,Diamond,4
CUST1044,10.94,10.94,0.0,1,10.94,10.94,10.94,5.19,5.19,0.0,5.19,1,1.0,0.0,1.0,1,1,10.94,0.0,10.94,10.94,10.94,5.19,0.0,5.19,1,1,11/1/2022,11/1/2022,1,10.94,5.19,5.75,0.52559415,10.94,1.0,0.0,0.0,0,0.0,365.0,1,1.0,1042,1,10.94,1,1,1,111,10.94,0.010488974,1,1.5,2,12.3545,2.0004,10.94,13.769,2.0,1.0,0.0,0.5,2,2.0,0.5,1.5,0.161916711,Diamond,4
