Feature,Target,Pearson_Corr,Spearman_Corr,Abs_Pearson,Abs_Spearman,Avg_Abs_Corr
UnitsPerCustomer,SalesQty_sum,0.8362328035169789,0.9800157225115215,0.8362328035169789,0.9800157225115215,0.9081242630142502
UnitsPerCustomer,TotalProfit,0.13499012546696973,0.5036263111491536,0.13499012546696973,0.5036263111491536,0.31930821830806166
ExtPrice_max,ProfitMargin,0.0022440771300817623,-0.16535884216542313,0.0022440771300817623,0.16535884216542313,0.08380145964775244
ExtPrice_max,TotalRevenue,0.3109460435696243,0.8707121780045354,0.3109460435696243,0.8707121780045354,0.5908291107870798
ExtPrice_max,CustomerID_nunique,0.0171672238805146,0.11660548961533759,0.0171672238805146,0.11660548961533759,0.06688635674792609
ExtPrice_max,SalesQty_sum,0.03713050890423491,0.3399891531468118,0.03713050890423491,0.3399891531468118,0.18855983102552334
ExtPrice_max,TotalProfit,0.210046764349911,0.7907448345228311,0.210046764349911,0.7907448345228311,0.500395799436371
SalesQty_mean,ProfitMargin,-0.023267376395469608,0.17700357323278204,0.023267376395469608,0.17700357323278204,0.10013547481412582
SalesQty_mean,TotalRevenue,0.08886982433874867,0.28626472077356596,0.08886982433874867,0.28626472077356596,0.18756727255615732
SalesQty_mean,CustomerID_nunique,0.002420617006639487,0.12261404130262644,0.002420617006639487,0.12261404130262644,0.06251732915463297
SalesQty_mean,SalesQty_sum,0.2742940850181467,0.8733801578386924,0.2742940850181467,0.8733801578386924,0.5738371214284196
SalesQty_mean,TotalProfit,0.041320701055630425,0.2765874812240985,0.041320701055630425,0.2765874812240985,0.15895409113986445
OrderNumber_nunique,ProfitMargin,0.0018713214158437147,0.001179802112173223,0.0018713214158437147,0.001179802112173223,0.0015255617640084688
OrderNumber_nunique,TotalRevenue,0.5119470082559109,0.7071465311966132,0.5119470082559109,0.7071465311966132,0.609546769726262
OrderNumber_nunique,CustomerID_nunique,0.17084645263999101,0.4844091562885527,0.17084645263999101,0.4844091562885527,0.32762780446427187
OrderNumber_nunique,SalesQty_sum,0.2898389144475974,0.6735739223865354,0.2898389144475974,0.6735739223865354,0.4817064184170664
OrderNumber_nunique,TotalProfit,0.21856311744385465,0.6785061480550659,0.21856311744385465,0.6785061480550659,0.44853463274946026
UnitCost_std,ProfitMargin,-0.01210205258690998,-0.07040534584138049,0.01210205258690998,0.07040534584138049,0.041253699214145234
UnitCost_std,TotalRevenue,0.03548224252487639,0.514022184299136,0.03548224252487639,0.514022184299136,0.27475221341200623
UnitCost_std,CustomerID_nunique,0.01059461461317834,0.29776291578470987,0.01059461461317834,0.29776291578470987,0.1541787651989441
UnitCost_std,SalesQty_sum,-0.00023238244678990526,0.3318526076347769,0.00023238244678990526,0.3318526076347769,0.16604249504078342
UnitCost_std,TotalProfit,-0.018741319015178958,0.47561447513911853,0.018741319015178958,0.47561447513911853,0.24717789707714874
QuoteConversionRate,ProfitMargin,0.0012513074869810775,-0.0053746572158559335,0.0012513074869810775,0.0053746572158559335,0.0033129823514185053
QuoteConversionRate,TotalRevenue,-0.028166757266043896,-0.11697967859579839,0.028166757266043896,0.11697967859579839,0.07257321793092114
QuoteConversionRate,CustomerID_nunique,-0.05147184168791281,-0.08548718684180287,0.05147184168791281,0.08548718684180287,0.06847951426485784
QuoteConversionRate,SalesQty_sum,-0.009654554414451753,-0.10696797785379425,0.009654554414451753,0.10696797785379425,0.058311266134123005
QuoteConversionRate,TotalProfit,-0.011341140923660085,-0.1133971777725652,0.011341140923660085,0.1133971777725652,0.06236915934811264
ExtCost_std,ProfitMargin,-0.8307152208784704,-0.10550103198404642,0.8307152208784704,0.10550103198404642,0.46810812643125843
ExtCost_std,TotalRevenue,0.0476851226979556,0.7209635569877525,0.0476851226979556,0.7209635569877525,0.384324339842854
ExtCost_std,CustomerID_nunique,-0.0001714710982650145,0.3517472426756897,0.0001714710982650145,0.3517472426756897,0.17595935688697736
ExtCost_std,SalesQty_sum,0.00370255024822851,0.5498428655047495,0.00370255024822851,0.5498428655047495,0.276772707876489
ExtCost_std,TotalProfit,-0.8453404082554801,0.6557597921432271,0.8453404082554801,0.6557597921432271,0.7505501001993535
